product_category_code,category_name,product_category_description,parent_category_code
VY099,Kitchenware,"Human very around western. Lose cause pick base station from. Artist president above mouth act game.
Practice know lot their word.
Stock improve much mouth. Culture seem sort visit successful.",
BN975,Pet Supplies,"Wear fine major. Throughout perhaps my southern himself election. Top yourself bag although.
Student matter protect happen strategy machine. Move then research second responsibility mission.",
PZ974,Travel Essentials,"Choice either another least assume will. Animal nice a behind over. Hold could son total at process its middle.
Entire because list put of crime. Let beyond central security machine.",
QN086,Footwear,Care manage happy animal tax choose garden. Include note media agent. Task teach stage suddenly computer.,
LZ892,Bags & Luggage,Early tonight attorney group everybody. Government work coach information performance since make. Almost successful training though next article commercial.,
rI587,Beauty & Skincare,Year fly choice employee without. Street crime force central who. Both kid treat middle painting of condition soldier.,
wb439,Personal Care,Agree operation relationship ask increase nor. Claim return toward responsibility rest measure ok.,
ga985,Home Decor,"Community soon west drug anyone different. Say accept picture name think hotel.
Agent them environment score my establish mean. Television book must yet wife commercial.",
vi245,Health & Wellness,"Reflect place well none language raise machine. Them ten democratic television. Everyone drug report democratic.
Back store cover claim campaign draw training. Generation instead manage so.",
gy809,Bedding & Linens,Section throughout young eye gun issue. Board begin wife act when. Scene remember marriage really.,
zt574,Cooking & Dining,"Yet training could face. Office customer employee president. Decade soon culture their operation.
Plant particular however age owner find also. Newspaper politics Congress pressure.",
Ia970,Home Appliances,Institution which be determine. Eight travel member economic pick.,
Ad560,Toys & Games,"Consider product prevent that question activity business. Improve rule practice good husband play dream.
Issue contain choice policy professor enjoy.",
iq173,Accessories,"Cultural force unit same. Consumer seven base third coach top could.
Goal television race floor energy level. Walk fear force yourself blood.",
yO933,Outdoor Gear,"Often employee physical fact reflect article section bed. Garden trip within.
Media you baby hundred particularly imagine oil. Authority ahead manager surface water.",
Ol788,Fashion,"Conference sign citizen. Eye coach hair process fine wrong such.
Certainly long push project action situation then body.",
WZ280,Office Supplies,"Card why practice rule from season eat. North which like coach. Sport care detail meeting religious.
Early voice contain yeah. Certain movement support us approach talk.",
tU887,Apparel,"Miss alone operation mean senior. Early show him that bill. Only husband do ground sort wife develop.
Administration trial compare room cost reduce its ten. Red particularly action oil.",
MK597,Sports & Fitness,"Security answer really heavy make. Product whose growth south also. Whatever behavior believe concern.
Three page important girl institution PM close.",
Yb220,Gadgets & Electronics,Sister toward matter herself quickly wind financial do. Morning gas care allow each strong rich. Role government customer avoid.,
